weight_decay,lr,epochs,patience,delta,feature_dim,features,pre_process_layers,post_process_layers,layer_connectivity,hidden_channels,batch_norm,dropout,macro_aggregation,L2_norm,msg_passing_layers,normalize_output,aggr,val_auc,accepted
0.001,0.01,400,10,0.1,16,go2vec,0,0,cat,16,True,0.5,mean,True,3,False,max,0.852,True
0.001,0.01,400,10,0.1,16,go2vec,1,0,cat,16,True,0.5,mean,True,3,False,max,0.827,False
0.001,0.01,400,10,0.1,16,go2vec,0,0,cat,16,True,0.0,mean,True,3,False,max,0.886,True
0.001,0.01,400,10,0.1,16,go2vec,0,0,cat,32,True,0.0,mean,True,3,False,max,0.878,True
0.001,0.01,400,10,0.1,16,go2vec,1,0,cat,32,True,0.0,mean,True,3,False,max,0.869,True
0.001,0.01,400,10,0.1,16,go2vec,1,0,cat,32,True,0.5,mean,True,3,False,max,0.852,True
0.001,0.001,400,10,0.1,16,go2vec,1,0,cat,32,True,0.5,mean,True,3,False,max,0.867,True
0.001,0.001,400,10,0.1,16,go2vec,1,0,cat,32,False,0.5,mean,True,3,False,max,0.864,True
0.001,0.001,400,10,0.1,16,go2vec,1,0,cat,32,False,0.5,mean,True,3,True,max,0.839,True
0.001,0.0001,400,10,0.1,16,go2vec,1,0,cat,32,False,0.5,mean,True,3,True,max,0.703,True
0.001,0.0001,400,10,0.1,16,go2vec,1,2,cat,32,False,0.5,mean,True,3,True,max,0.707,True
0.001,0.0001,400,10,0.1,16,go2vec,1,2,cat,32,False,0.5,mean,True,3,True,sum,0.78,True
0.001,0.0001,500,10,0.1,16,go2vec,1,2,cat,32,False,0.5,mean,True,3,True,sum,0.831,True
0.001,0.0001,500,10,0.1,16,go2vec,1,2,cat,32,False,0.0,mean,True,3,True,sum,0.905,True
0.001,0.0001,500,10,0.1,16,go2vec,1,2,cat,32,False,0.0,mean,True,4,True,sum,0.901,True
0.001,0.0001,500,10,0.1,16,go2vec,2,2,cat,32,False,0.0,mean,True,4,True,sum,0.905,True
0.001,0.0001,500,10,0.1,16,go2vec,2,2,cat,32,False,0.0,mean,True,4,True,max,0.873,True
0.001,0.0001,500,10,0.1,16,go2vec,2,2,cat,32,True,0.0,mean,True,4,True,max,0.856,True
0.001,0.0001,500,10,0.1,16,go2vec,2,2,cat,32,True,0.0,mean,False,4,True,max,0.885,True
0.001,0.0001,500,10,0.1,16,go2vec,2,2,sum,32,True,0.0,mean,False,4,True,max,0.889,True
0.001,0.0001,500,10,0.1,16,go2vec,2,2,False,32,True,0.0,mean,False,4,True,max,0.885,True
0.001,0.0001,500,10,0.1,16,go2vec,2,2,False,32,True,0.0,mean,False,4,False,max,0.872,True
0.001,0.0001,500,10,0.1,16,go2vec,2,1,False,32,True,0.0,mean,False,4,False,max,0.868,True
0.001,0.0001,500,10,0.1,16,go2vec,2,1,False,32,True,0.0,mean,True,4,False,max,0.849,True
0.001,0.0001,500,10,0.1,16,go2vec,2,2,False,32,True,0.0,mean,True,4,False,max,0.835,True
0.001,0.0001,500,10,0.1,16,go2vec,2,2,False,32,True,0.0,mean,True,4,False,mean,0.81,True
0.001,0.0001,500,10,0.1,16,go2vec,2,2,False,32,True,0.0,mean,False,4,False,mean,0.866,True
0.001,0.0001,500,10,0.1,16,go2vec,1,2,False,32,True,0.0,mean,False,4,False,mean,0.855,True
