weight_decay,lr,epochs,patience,delta,feature_dim,pre_process_layers,post_process_layers,layer_connectivity,hidden_channels,batch_norm,dropout,macro_aggregation,L2_norm,msg_passing_layers,normalize_output,aggr,val_auc,accepted
0.001,0.0001,500,10,0.1,16,1,2,sum,128,True,0.5,mean,True,4,False,max,0.823,True
0.001,0.001,400,10,0.1,128,1,1,False,16,False,0.5,sum,False,4,False,mean,0.821,True
0.001,0.0001,300,10,0.1,64,2,0,sum,32,True,0.3,mean,True,3,False,max,0.821,True
0.001,0.001,400,10,0.1,16,1,2,sum,128,False,0.0,mean,False,2,True,max,0.82,True
0.001,0.001,300,10,0.1,128,1,1,cat,64,True,0.0,mean,False,4,False,max,0.818,True
0.001,0.001,400,10,0.1,128,2,1,cat,16,False,0.0,mean,False,4,False,mean,0.818,True
0.001,0.0001,300,10,0.1,64,2,2,cat,32,True,0.3,mean,True,3,False,max,0.816,True
0.001,0.0001,300,10,0.1,64,2,0,cat,32,True,0.3,mean,True,2,False,max,0.816,True
0.001,0.001,500,10,0.1,128,1,1,sum,32,False,0.0,mean,True,2,False,sum,0.816,True
0.001,0.001,300,10,0.1,16,0,1,sum,32,False,0.0,sum,True,4,True,mean,0.813,True
0.001,0.001,400,10,0.1,16,1,2,sum,128,False,0.0,mean,False,2,False,max,0.813,True
0.001,0.0001,300,10,0.1,16,0,1,sum,32,False,0.5,mean,True,4,True,sum,0.813,True
0.001,0.001,400,10,0.1,128,2,1,False,16,False,0.5,sum,False,4,False,mean,0.813,True
0.001,0.001,500,10,0.1,128,2,1,sum,16,False,0.0,sum,False,4,False,mean,0.811,True
0.001,0.001,500,10,0.1,16,0,1,cat,32,False,0.5,mean,False,4,False,sum,0.808,True
0.001,0.001,400,10,0.1,32,0,1,False,64,True,0.0,mean,True,4,False,sum,0.807,True
0.001,0.01,500,10,0.1,16,0,1,cat,32,False,0.0,mean,False,3,False,max,0.806,True
0.001,0.0001,500,10,0.1,32,1,1,sum,32,False,0.0,sum,False,2,True,max,0.803,True
0.001,0.001,300,10,0.1,128,1,2,cat,32,True,0.0,mean,True,3,False,sum,0.803,True
0.001,0.001,500,10,0.1,128,2,1,sum,16,False,0.5,sum,False,4,False,mean,0.802,True
0.001,0.0001,400,10,0.1,16,1,2,cat,128,False,0.0,sum,True,2,False,max,0.8,True
0.001,0.0001,400,10,0.1,128,1,0,False,128,True,0.0,sum,True,2,True,max,0.797,True
0.001,0.01,400,10,0.1,128,0,2,cat,32,True,0.0,mean,True,3,False,sum,0.795,True
0.001,0.0001,500,10,0.1,128,0,1,False,128,True,0.0,sum,True,2,True,max,0.795,True
0.001,0.001,500,10,0.1,128,1,1,sum,32,False,0.0,sum,True,2,False,sum,0.794,True
0.001,0.0001,300,10,0.1,128,1,2,cat,32,True,0.0,mean,True,3,False,sum,0.793,True
0.001,0.0001,500,10,0.1,16,0,1,False,128,True,0.5,sum,True,2,False,max,0.793,True
0.001,0.01,500,10,0.1,32,0,1,cat,32,False,0.0,mean,False,3,True,max,0.792,True
0.001,0.001,300,10,0.1,16,0,0,sum,32,False,0.0,sum,True,4,True,mean,0.79,True
0.001,0.001,300,10,0.1,16,1,1,False,128,True,0.3,sum,False,3,True,mean,0.787,True
0.001,0.0001,300,10,0.1,64,2,0,sum,32,True,0.3,mean,True,2,False,max,0.786,True
0.001,0.0001,300,10,0.1,128,1,0,sum,32,False,0.0,mean,False,2,True,sum,0.785,True
0.001,0.001,500,10,0.1,16,0,1,cat,32,False,0.0,mean,False,3,False,max,0.785,True
0.001,0.0001,500,10,0.1,64,1,0,sum,32,False,0.0,sum,False,2,False,max,0.783,True
0.001,0.001,400,10,0.1,16,0,1,cat,128,False,0.5,mean,True,4,True,sum,0.782,False
0.001,0.001,300,10,0.1,32,1,1,cat,32,True,0.3,mean,True,3,False,max,0.782,True
0.001,0.001,400,10,0.1,64,0,2,cat,64,False,0.0,sum,False,4,True,mean,0.778,True
0.001,0.0001,500,10,0.1,128,0,1,False,128,True,0.0,sum,True,2,False,max,0.775,True
0.001,0.01,300,10,0.1,16,1,0,sum,32,False,0.5,mean,True,3,False,mean,0.774,True
0.001,0.0001,500,10,0.1,32,1,2,sum,32,False,0.0,sum,False,2,True,max,0.773,True
0.001,0.0001,400,10,0.1,16,1,2,False,32,False,0.5,sum,True,4,False,sum,0.768,True
0.001,0.0001,500,10,0.1,32,1,2,sum,32,False,0.0,sum,False,2,False,max,0.765,True
0.001,0.0001,400,10,0.1,16,1,2,cat,128,False,0.0,sum,True,1,False,max,0.764,True
0.001,0.001,400,10,0.1,32,1,1,cat,64,True,0.3,sum,True,4,False,max,0.763,True
0.001,0.01,300,10,0.1,32,0,1,cat,32,False,0.0,mean,False,3,True,max,0.763,True
0.001,0.01,400,10,0.1,32,1,1,False,64,False,0.0,sum,False,2,False,mean,0.761,True
0.001,0.0001,400,10,0.1,128,1,1,False,128,False,0.0,sum,True,2,False,max,0.761,True
0.001,0.001,400,10,0.1,32,0,1,False,64,True,0.0,mean,True,4,False,max,0.759,True
0.001,0.001,300,10,0.1,32,1,0,cat,32,True,0.3,sum,True,3,False,max,0.759,True
0.001,0.01,400,10,0.1,32,1,1,False,64,False,0.0,sum,False,2,True,mean,0.755,True
0.001,0.0001,400,10,0.1,16,1,2,sum,128,False,0.0,mean,False,2,False,max,0.753,True
0.001,0.0001,400,10,0.1,32,2,1,cat,32,True,0.3,mean,False,3,True,max,0.753,True
0.001,0.0001,400,10,0.1,16,0,2,False,32,False,0.5,sum,True,4,False,sum,0.75,True
0.001,0.0001,500,10,0.1,64,1,0,False,32,False,0.0,sum,False,2,False,max,0.749,True
0.001,0.001,400,10,0.1,128,2,1,sum,16,False,0.5,sum,False,4,False,mean,0.749,True
0.001,0.01,300,10,0.1,16,1,1,False,128,True,0.5,sum,False,3,False,mean,0.748,True
0.001,0.0001,300,10,0.1,16,0,1,sum,32,False,0.0,mean,True,4,True,mean,0.745,True
0.001,0.001,500,10,0.1,32,1,1,sum,16,False,0.5,sum,False,1,False,sum,0.745,True
0.001,0.001,300,10,0.1,16,1,1,False,128,True,0.3,sum,False,4,False,mean,0.744,True
0.001,0.01,500,10,0.1,16,0,2,cat,128,False,0.3,sum,True,1,True,max,0.742,True
0.001,0.0001,300,10,0.1,32,1,1,sum,32,True,0.3,sum,True,2,True,max,0.742,True
0.001,0.001,500,10,0.1,32,1,1,sum,64,True,0.3,mean,True,4,False,max,0.741,True
0.001,0.001,500,10,0.1,128,1,0,sum,32,False,0.0,mean,True,2,False,sum,0.738,True
0.001,0.001,500,10,0.1,16,0,2,cat,128,False,0.3,sum,True,1,True,max,0.738,True
0.001,0.001,300,10,0.1,16,1,1,False,128,True,0.3,mean,False,3,True,mean,0.736,True
0.001,0.01,300,10,0.1,16,1,0,cat,32,False,0.5,mean,True,3,False,mean,0.736,True
0.001,0.01,500,10,0.1,16,0,2,False,128,False,0.3,sum,True,1,True,max,0.735,True
0.001,0.0001,300,10,0.1,32,1,1,sum,32,True,0.3,sum,False,2,True,max,0.733,True
0.001,0.001,300,10,0.1,128,1,1,sum,64,True,0.3,sum,True,4,False,max,0.731,True
0.001,0.001,500,10,0.1,128,0,1,False,16,True,0.0,sum,True,2,False,max,0.73,True
0.001,0.01,300,10,0.1,16,0,2,cat,128,False,0.3,mean,True,1,True,max,0.727,True
0.001,0.0001,300,10,0.1,32,1,1,sum,32,True,0.0,sum,False,2,True,max,0.727,True
0.001,0.001,500,10,0.1,32,1,2,sum,128,True,0.3,mean,False,2,True,max,0.726,True
0.001,0.001,500,10,0.1,128,0,1,cat,64,True,0.5,mean,False,4,False,sum,0.726,True
0.001,0.0001,500,10,0.1,128,1,0,False,128,False,0.3,sum,False,2,True,mean,0.725,True
0.001,0.01,500,10,0.1,16,0,1,cat,32,False,0.0,mean,False,3,True,max,0.723,True
0.001,0.001,400,10,0.1,16,0,0,cat,128,True,0.5,mean,True,4,True,sum,0.721,True
0.001,0.001,300,10,0.1,64,0,1,False,32,False,0.5,mean,True,3,False,mean,0.719,True
0.001,0.0001,500,10,0.1,16,0,1,sum,128,True,0.3,mean,True,4,False,max,0.719,True
0.001,0.001,300,10,0.1,16,1,1,False,128,True,0.3,mean,False,3,False,mean,0.718,True
0.001,0.01,400,10,0.1,128,1,2,cat,32,True,0.0,mean,False,3,True,sum,0.717,True
0.001,0.001,500,10,0.1,32,1,2,sum,64,True,0.3,mean,False,2,True,max,0.716,True
0.001,0.01,300,10,0.1,32,1,0,cat,32,True,0.3,sum,True,3,False,max,0.716,True
0.001,0.0001,400,10,0.1,16,1,2,False,32,False,0.0,sum,True,1,False,sum,0.714,True
0.001,0.0001,400,10,0.1,32,2,1,cat,32,True,0.3,mean,False,3,True,mean,0.714,False
0.001,0.01,300,10,0.1,16,1,0,sum,32,False,0.5,mean,True,2,False,mean,0.712,True
0.001,0.001,500,10,0.1,128,0,2,False,16,True,0.0,sum,True,2,False,max,0.71,True
0.001,0.001,500,10,0.1,128,0,1,False,128,True,0.0,sum,True,2,False,max,0.707,True
0.001,0.001,400,10,0.1,64,0,1,cat,64,False,0.0,sum,False,4,True,mean,0.707,True
0.001,0.0001,300,10,0.1,128,1,0,sum,32,False,0.0,mean,True,2,True,mean,0.707,True
0.001,0.0001,500,10,0.1,64,1,2,sum,32,False,0.0,sum,False,2,False,max,0.705,True
0.001,0.0001,400,10,0.1,16,1,2,False,128,False,0.0,sum,True,1,False,max,0.705,True
0.001,0.0001,400,10,0.1,16,1,2,False,16,False,0.0,sum,True,1,False,sum,0.703,True
0.001,0.0001,300,10,0.1,128,1,0,sum,32,False,0.0,mean,False,2,True,mean,0.701,True
0.001,0.01,300,10,0.1,16,1,0,cat,32,False,0.5,mean,True,2,False,mean,0.701,True
0.001,0.0001,500,10,0.1,32,1,1,sum,32,True,0.0,sum,False,2,True,max,0.701,True
0.001,0.0001,300,10,0.1,128,0,0,sum,32,False,0.0,mean,True,2,False,sum,0.701,True
0.001,0.001,500,10,0.1,128,2,2,False,16,True,0.0,sum,True,2,False,max,0.7,True
0.001,0.001,300,10,0.1,16,0,0,sum,32,True,0.0,sum,True,4,True,mean,0.698,True
0.001,0.001,400,10,0.1,32,1,2,sum,128,False,0.0,mean,False,2,True,max,0.696,True
0.001,0.0001,500,10,0.1,128,1,0,False,128,True,0.0,sum,True,2,True,max,0.696,True
0.001,0.001,300,10,0.1,128,1,1,False,128,True,0.3,sum,False,4,False,mean,0.695,True
0.001,0.0001,500,10,0.1,128,1,0,False,128,True,0.3,sum,True,2,True,max,0.695,True
0.001,0.001,500,10,0.1,32,1,1,sum,16,False,0.3,sum,False,1,False,sum,0.693,True
0.001,0.0001,500,10,0.1,64,1,0,sum,64,False,0.0,sum,False,1,False,sum,0.692,True
0.001,0.001,500,10,0.1,128,0,1,cat,32,False,0.5,mean,False,4,False,sum,0.691,True
0.001,0.0001,400,10,0.1,64,0,2,cat,64,False,0.0,mean,False,4,True,mean,0.691,True
0.001,0.001,500,10,0.1,128,0,1,sum,64,False,0.0,sum,True,2,False,sum,0.69,False
0.001,0.0001,400,10,0.1,16,0,1,cat,128,True,0.5,sum,True,4,True,sum,0.688,True
0.001,0.001,300,10,0.1,32,1,1,cat,32,True,0.3,sum,True,3,False,max,0.685,True
0.001,0.001,500,10,0.1,32,1,0,False,128,False,0.5,mean,True,2,False,mean,0.684,True
0.001,0.001,400,10,0.1,128,1,1,False,16,False,0.0,sum,False,4,False,mean,0.681,True
0.001,0.01,300,10,0.1,16,1,0,cat,128,False,0.3,mean,True,1,False,max,0.681,True
0.001,0.0001,500,10,0.1,64,0,2,sum,64,False,0.5,sum,False,4,True,sum,0.677,True
0.001,0.0001,500,10,0.1,128,1,0,False,128,True,0.3,sum,False,2,True,max,0.677,True
0.001,0.001,300,10,0.1,16,0,1,sum,32,False,0.0,mean,True,4,True,mean,0.675,True
0.001,0.001,500,10,0.1,16,0,1,cat,32,False,0.5,sum,False,3,False,max,0.673,True
0.001,0.001,400,10,0.1,128,1,1,False,128,True,0.3,sum,False,2,False,mean,0.672,True
0.001,0.01,500,10,0.1,128,1,1,sum,128,False,0.0,sum,False,2,True,mean,0.67,True
0.001,0.01,400,10,0.1,16,0,1,sum,128,True,0.3,sum,True,4,True,max,0.669,True
0.001,0.001,500,10,0.1,32,0,0,False,128,False,0.5,mean,True,2,True,mean,0.667,True
0.001,0.01,300,10,0.1,16,0,2,cat,128,False,0.3,mean,True,1,False,max,0.666,True
0.001,0.01,300,10,0.1,128,1,0,cat,32,False,0.5,mean,True,3,True,mean,0.666,True
0.001,0.01,500,10,0.1,16,0,2,False,128,False,0.5,sum,True,1,True,max,0.665,True
0.001,0.0001,500,10,0.1,16,0,1,False,128,True,0.5,sum,True,1,True,max,0.665,True
0.001,0.0001,500,10,0.1,16,0,1,False,128,True,0.5,mean,True,1,True,max,0.664,True
0.001,0.001,500,10,0.1,32,1,2,sum,64,True,0.3,mean,True,2,False,mean,0.663,True
0.001,0.0001,500,10,0.1,32,1,1,sum,32,True,0.3,sum,True,2,False,mean,0.662,True
0.001,0.0001,500,10,0.1,128,1,0,False,128,True,0.3,sum,False,2,False,mean,0.661,True
0.001,0.001,400,10,0.1,128,2,1,cat,16,False,0.0,mean,True,1,False,sum,0.66,True
0.001,0.0001,500,10,0.1,16,1,2,sum,32,True,0.5,mean,True,1,False,max,0.66,True
0.001,0.01,300,10,0.1,16,0,2,cat,128,False,0.3,sum,True,1,True,max,0.659,True
0.001,0.01,500,10,0.1,32,2,1,False,16,False,0.5,mean,True,2,False,mean,0.658,True
0.001,0.0001,500,10,0.1,128,1,2,sum,16,True,0.5,mean,False,1,False,sum,0.657,True
0.001,0.01,300,10,0.1,16,0,0,cat,128,False,0.3,mean,True,1,False,max,0.656,True
0.001,0.001,400,10,0.1,32,0,1,False,64,True,0.3,mean,True,4,False,sum,0.656,True
0.001,0.001,400,10,0.1,128,1,1,False,128,True,0.3,mean,False,2,False,mean,0.655,True
0.001,0.001,500,10,0.1,64,1,0,False,128,False,0.3,mean,True,2,True,mean,0.654,True
0.001,0.0001,500,10,0.1,16,1,2,sum,64,True,0.5,mean,True,1,False,max,0.65,True
0.001,0.001,500,10,0.1,32,1,1,sum,16,False,0.3,sum,False,1,False,max,0.648,True
0.001,0.001,300,10,0.1,64,0,1,False,32,False,0.5,mean,True,3,True,mean,0.648,True
0.001,0.0001,400,10,0.1,128,1,0,False,128,True,0.3,sum,False,2,False,mean,0.647,True
0.001,0.001,500,10,0.1,16,0,2,False,128,False,0.3,sum,True,1,True,max,0.647,True
0.001,0.0001,500,10,0.1,128,1,1,False,128,True,0.0,sum,True,2,False,max,0.647,False
0.001,0.0001,500,10,0.1,16,0,2,False,128,True,0.5,sum,True,1,True,max,0.646,False
0.001,0.0001,500,10,0.1,16,0,1,False,128,False,0.5,mean,True,1,True,max,0.645,True
0.001,0.01,500,10,0.1,32,1,1,sum,32,True,0.3,sum,True,2,False,mean,0.644,True
0.001,0.0001,400,10,0.1,16,0,1,cat,128,True,0.3,sum,True,4,True,sum,0.644,True
0.001,0.001,300,10,0.1,128,1,1,False,64,True,0.0,mean,False,4,False,max,0.644,True
0.001,0.001,500,10,0.1,32,1,2,sum,64,True,0.3,mean,False,1,True,max,0.643,True
0.001,0.01,300,10,0.1,32,0,1,cat,32,True,0.3,mean,False,3,True,max,0.642,True
0.001,0.0001,500,10,0.1,128,1,0,sum,32,False,0.5,mean,True,2,True,mean,0.64,True
0.001,0.001,500,10,0.1,64,1,0,False,128,False,0.5,mean,True,2,False,mean,0.64,True
0.001,0.001,300,10,0.1,32,0,1,False,64,True,0.5,mean,True,3,False,sum,0.638,True
0.001,0.0001,500,10,0.1,128,1,0,sum,32,False,0.0,mean,False,2,False,sum,0.637,False
0.001,0.0001,500,10,0.1,64,1,0,sum,32,False,0.0,sum,False,1,False,max,0.635,True
0.001,0.01,300,10,0.1,128,1,0,cat,32,False,0.5,mean,True,3,False,mean,0.633,True
0.001,0.0001,500,10,0.1,16,0,2,False,128,False,0.5,sum,True,1,True,max,0.632,True
0.001,0.001,400,10,0.1,32,0,1,False,64,False,0.0,sum,True,3,False,sum,0.631,False
0.001,0.01,300,10,0.1,32,0,1,cat,32,True,0.3,mean,False,2,False,max,0.63,True
0.001,0.001,500,10,0.1,64,1,0,False,128,False,0.3,mean,True,2,False,mean,0.63,True
0.001,0.001,400,10,0.1,32,0,1,False,64,True,0.3,mean,True,3,False,sum,0.629,True
0.001,0.001,500,10,0.1,32,1,1,sum,32,True,0.3,sum,True,2,False,mean,0.629,True
0.001,0.001,300,10,0.1,16,0,1,sum,32,True,0.0,sum,True,4,True,mean,0.628,False
0.001,0.001,400,10,0.1,64,0,2,cat,64,False,0.0,mean,False,4,True,mean,0.626,True
0.001,0.001,300,10,0.1,128,1,1,sum,64,True,0.3,sum,True,4,False,mean,0.624,True
0.001,0.01,300,10,0.1,32,0,1,cat,32,True,0.3,mean,False,2,True,max,0.623,True
0.001,0.001,500,10,0.1,32,1,2,sum,64,True,0.3,mean,True,1,False,mean,0.622,True
0.001,0.0001,500,10,0.1,16,0,2,False,128,False,0.5,mean,True,1,True,max,0.622,True
0.001,0.0001,500,10,0.1,128,2,2,cat,16,True,0.5,mean,False,1,False,sum,0.62,True
0.001,0.0001,500,10,0.1,128,2,2,False,16,True,0.0,sum,True,2,False,max,0.62,True
0.001,0.0001,300,10,0.1,32,1,1,sum,32,True,0.3,sum,True,2,True,mean,0.619,True
