full,no_chch,no_gg,only_dti
"[0.951, 0.954, 0.953, 0.946, 0.953, 0.948, 0.946, 0.949, 0.948, 0.952]","[0.947, 0.953, 0.953, 0.953, 0.948, 0.95, 0.947, 0.947, 0.95, 0.95]","[0.949, 0.945, 0.947, 0.951, 0.947, 0.95, 0.943, 0.942, 0.949, 0.946]","[0.949, 0.946, 0.947, 0.943, 0.949, 0.901, 0.943, 0.948, 0.946, 0.949]"
"[0.935, 0.935, 0.923, 0.93, 0.928, 0.938, 0.938, 0.932, 0.937, 0.932]","[0.932, 0.931, 0.924, 0.932, 0.936, 0.927, 0.929, 0.932, 0.937, 0.933]","[0.921, 0.92, 0.929, 0.92, 0.93, 0.917, 0.919, 0.925, 0.932, 0.919]","[0.928, 0.569, 0.567, 0.572, 0.572, 0.922, 0.918, 0.925, 0.566, 0.922]"
