weight_decay,lr,epochs,patience,delta,feature_dim,pre_process_layers,post_process_layers,layer_connectivity,hidden_channels,batch_norm,dropout,macro_aggregation,L2_norm,msg_passing_layers,normalize_output,aggr,val_auc,accepted
0.001,0.001,400,10,0.1,16,0,1,cat,128,True,0.5,sum,True,4,True,sum,0.615,True
0.001,0.0001,400,10,0.1,16,0,1,cat,128,True,0.5,sum,True,4,True,sum,0.688,True
0.001,0.0001,400,10,0.1,16,0,1,cat,128,True,0.3,sum,True,4,True,sum,0.644,True
0.001,0.0001,400,10,0.1,16,0,1,cat,128,True,0.3,sum,True,4,True,max,0.888,True
0.001,0.01,400,10,0.1,16,0,1,cat,128,True,0.3,sum,True,4,True,max,0.571,True
0.001,0.01,400,10,0.1,16,0,1,sum,128,True,0.3,sum,True,4,True,max,0.669,True
0.001,0.0001,400,10,0.1,16,0,1,sum,128,True,0.3,sum,True,4,True,max,0.899,True
0.001,0.0001,500,10,0.1,16,0,1,sum,128,True,0.3,sum,True,4,True,max,0.886,True
0.001,0.0001,500,10,0.1,16,0,1,sum,128,True,0.3,mean,True,4,True,max,0.868,True
0.001,0.0001,500,10,0.1,16,0,1,sum,128,True,0.3,mean,True,4,False,max,0.719,True
0.001,0.0001,500,10,0.1,16,0,2,sum,128,True,0.3,mean,True,4,False,max,0.909,True
0.001,0.0001,500,10,0.1,16,1,2,sum,128,True,0.3,mean,True,4,False,max,0.909,True
0.001,0.0001,500,10,0.1,16,1,2,sum,128,True,0.5,mean,True,4,False,max,0.823,True
0.001,0.0001,500,10,0.1,16,1,2,sum,128,True,0.5,mean,True,1,False,max,0.568,True
0.001,0.0001,500,10,0.1,16,1,2,sum,64,True,0.5,mean,True,1,False,max,0.65,True
0.001,0.0001,500,10,0.1,16,1,2,sum,32,True,0.5,mean,True,1,False,max,0.66,True
0.001,0.0001,500,10,0.1,16,1,2,sum,32,True,0.5,mean,True,1,False,mean,0.502,True
0.001,0.0001,500,10,0.1,16,1,2,False,32,True,0.5,mean,True,1,False,mean,0.528,True
0.001,0.0001,500,10,0.1,16,1,2,False,32,True,0.5,mean,True,2,False,mean,0.515,True
0.001,0.0001,500,10,0.1,16,1,2,sum,32,True,0.5,mean,True,2,False,mean,0.557,True
0.001,0.0001,500,10,0.1,16,1,1,sum,32,True,0.5,mean,True,2,False,mean,0.585,True
0.001,0.0001,500,10,0.1,128,1,1,sum,32,True,0.5,mean,True,2,False,mean,0.583,True
0.001,0.0001,500,10,0.1,128,1,1,sum,32,True,0.5,mean,True,2,True,mean,0.584,True
0.001,0.0001,500,10,0.1,128,1,0,sum,32,True,0.5,mean,True,2,True,mean,0.613,True
0.001,0.0001,500,10,0.1,128,1,0,sum,32,False,0.5,mean,True,2,True,mean,0.64,True
0.001,0.0001,300,10,0.1,128,1,0,sum,32,False,0.5,mean,True,2,True,mean,0.609,True
0.001,0.0001,300,10,0.1,128,1,0,sum,32,False,0.0,mean,True,2,True,mean,0.707,True
0.001,0.0001,300,10,0.1,128,1,0,sum,32,False,0.0,mean,False,2,True,mean,0.701,True
0.001,0.0001,300,10,0.1,128,1,0,sum,32,True,0.0,mean,False,2,True,mean,0.593,True
0.001,0.0001,300,10,0.1,128,1,0,sum,32,True,0.0,mean,False,2,True,sum,0.558,True
0.001,0.0001,300,10,0.1,128,1,0,sum,32,False,0.0,mean,False,2,True,sum,0.785,True
0.001,0.0001,300,10,0.1,128,0,0,sum,32,False,0.0,mean,False,2,True,sum,0.554,True
0.001,0.0001,300,10,0.1,128,0,0,sum,32,False,0.0,mean,True,2,True,sum,0.558,True
0.001,0.0001,300,10,0.1,128,0,0,sum,32,False,0.0,mean,True,2,False,sum,0.701,True
0.001,0.0001,300,10,0.1,128,1,0,sum,32,False,0.0,mean,True,2,False,sum,0.871,True
0.001,0.0001,500,10,0.1,128,1,0,sum,32,False,0.0,mean,True,2,False,sum,0.874,True
0.001,0.0001,500,10,0.1,128,1,0,sum,32,False,0.0,mean,False,2,False,sum,0.637,False
0.001,0.01,500,10,0.1,128,1,0,sum,32,False,0.0,mean,True,2,False,sum,0.833,True
0.001,0.001,500,10,0.1,128,1,0,sum,32,False,0.0,mean,True,2,False,sum,0.738,True
0.001,0.001,500,10,0.1,128,1,1,sum,32,False,0.0,mean,True,2,False,sum,0.816,True
0.001,0.001,500,10,0.1,128,1,1,sum,32,False,0.0,sum,True,2,False,sum,0.794,True
0.001,0.001,500,10,0.1,128,1,1,sum,64,False,0.0,sum,True,2,False,sum,0.885,True
0.001,0.001,500,10,0.1,128,0,1,sum,64,False,0.0,sum,True,2,False,sum,0.69,False
0.001,0.01,500,10,0.1,128,1,1,sum,64,False,0.0,sum,True,2,False,sum,0.895,True
0.001,0.01,500,10,0.1,128,1,1,sum,64,False,0.0,sum,True,1,False,sum,0.534,True
0.001,0.01,500,10,0.1,128,1,1,sum,64,False,0.0,sum,False,1,False,sum,0.508,True
0.001,0.01,500,10,0.1,128,1,1,sum,64,False,0.0,sum,False,1,False,mean,0.535,True
0.001,0.01,500,10,0.1,128,1,1,sum,64,False,0.0,sum,False,1,True,mean,0.476,True
0.001,0.01,500,10,0.1,128,1,1,sum,64,False,0.0,sum,False,2,True,mean,0.595,True
0.001,0.01,500,10,0.1,128,1,1,sum,128,False,0.0,sum,False,2,True,mean,0.67,True
0.001,0.01,500,10,0.1,128,1,1,sum,128,True,0.0,sum,False,2,True,mean,0.535,True
0.001,0.01,500,10,0.1,128,1,1,sum,128,True,0.5,sum,False,2,True,mean,0.4,True
0.001,0.01,400,10,0.1,128,1,1,sum,128,True,0.5,sum,False,2,True,mean,0.53,True
0.001,0.01,400,10,0.1,64,1,1,sum,128,True,0.5,sum,False,2,True,mean,0.544,True
0.001,0.01,400,10,0.1,64,1,1,sum,128,True,0.5,sum,False,2,False,mean,0.5,True
0.001,0.001,400,10,0.1,64,1,1,sum,128,True,0.5,sum,False,2,False,mean,0.537,True
0.001,0.001,400,10,0.1,64,1,1,sum,128,True,0.3,sum,False,2,False,mean,0.617,True
0.001,0.001,400,10,0.1,64,1,1,sum,128,True,0.3,mean,False,2,False,mean,0.605,True
0.001,0.001,400,10,0.1,64,1,1,sum,128,True,0.0,mean,False,2,False,mean,0.573,True
0.001,0.001,400,10,0.1,64,1,1,sum,128,True,0.0,mean,False,2,True,mean,0.456,True
0.001,0.001,400,10,0.1,64,1,1,sum,128,True,0.0,sum,False,2,True,mean,0.517,True
0.001,0.001,400,10,0.1,64,1,1,sum,128,True,0.0,sum,False,3,True,mean,0.537,True
0.001,0.001,400,10,0.1,64,1,1,sum,128,True,0.0,sum,False,3,False,mean,0.565,True
0.001,0.001,400,10,0.1,64,1,1,sum,128,True,0.0,sum,False,3,False,max,0.514,True
0.001,0.001,400,10,0.1,32,1,1,sum,128,True,0.0,sum,False,3,False,max,0.58,True
0.001,0.001,400,10,0.1,32,1,1,sum,128,True,0.0,sum,False,3,False,sum,0.531,True
0.001,0.001,400,10,0.1,32,1,1,sum,128,False,0.0,sum,False,3,False,sum,0.5,True
0.001,0.001,400,10,0.1,32,1,1,sum,16,False,0.0,sum,False,3,False,sum,0.487,True
0.001,0.001,400,10,0.1,32,1,1,sum,16,False,0.5,sum,False,3,False,sum,0.593,True
