,weight_decay,lr,epochs,patience,delta,feature_dim,features,pre_process_layers,post_process_layers,layer_connectivity,hidden_channels,batch_norm,dropout,macro_aggregation,L2_norm,msg_passing_layers,normalize_output,heads,add_self_loops,concat,val_auc,accepted,val_auc_random_features
985,0.001,0.001,300,10,0.1,128,go2vec,0,1,sum,64,False,0.5,mean,False,4,False,2,False,True,0.936,True,0.815
909,0.001,0.0001,300,10,0.1,128,go2vec,0,2,cat,64,True,0.3,sum,False,4,False,2,False,True,0.935,True,0.836
905,0.001,0.001,300,10,0.1,128,go2vec,0,2,cat,64,True,0.0,sum,False,4,False,2,False,True,0.935,True,0.464
897,0.001,0.001,400,10,0.1,16,go2vec,0,2,cat,16,False,0.0,sum,False,4,False,1,False,False,0.934,True,0.856
506,0.001,0.001,300,10,0.1,16,go2vec,0,2,sum,128,True,0.0,sum,True,3,False,2,False,True,0.934,True,0.715
986,0.001,0.001,300,10,0.1,128,go2vec,0,1,sum,64,False,0.0,mean,False,4,False,2,False,True,0.934,True,0.828
461,0.001,0.001,500,10,0.1,16,go2vec,0,2,cat,16,True,0.0,sum,False,3,False,1,False,False,0.933,True,0.77
518,0.001,0.0001,500,10,0.1,128,go2vec,0,2,sum,64,True,0.0,sum,False,4,False,2,False,True,0.933,True,0.724
906,0.001,0.0001,300,10,0.1,128,go2vec,0,2,cat,64,True,0.0,sum,False,4,False,2,False,True,0.933,True,0.778
981,0.001,0.001,400,10,0.1,128,go2vec,1,1,sum,64,False,0.5,mean,False,4,False,2,False,True,0.933,True,0.796
688,0.001,0.01,500,10,0.1,64,go2vec,0,0,sum,64,False,0.0,mean,False,3,False,1,False,True,0.933,True,0.748
622,0.001,0.001,300,10,0.1,32,go2vec,1,1,sum,32,False,0.3,mean,False,4,False,3,False,True,0.933,True,0.831
624,0.001,0.001,500,10,0.1,32,go2vec,2,1,sum,32,False,0.3,mean,False,4,False,3,False,True,0.933,True,0.767
500,0.001,0.01,300,10,0.1,16,go2vec,0,2,sum,16,True,0.0,sum,True,2,False,1,False,True,0.932,True,0.482
513,0.001,0.0001,500,10,0.1,128,go2vec,0,2,sum,64,True,0.0,sum,True,3,False,2,False,True,0.932,True,0.707
517,0.001,0.0001,500,10,0.1,128,go2vec,0,2,sum,64,True,0.0,sum,True,4,False,2,False,True,0.932,True,0.709
898,0.001,0.001,400,10,0.1,16,go2vec,0,2,cat,16,False,0.0,sum,False,4,False,1,False,True,0.931,True,0.848
460,0.001,0.001,500,10,0.1,16,go2vec,0,2,cat,16,True,0.0,sum,False,3,False,3,False,False,0.931,True,0.754
894,0.001,0.001,400,10,0.1,16,go2vec,0,2,cat,16,False,0.0,sum,False,3,False,3,False,True,0.931,True,0.818
498,0.001,0.01,300,10,0.1,16,go2vec,0,2,sum,16,True,0.0,mean,False,2,False,1,False,True,0.93,True,0.438
12,0.001,0.01,500,10,0.1,32,go2vec,1,1,sum,16,False,0.3,mean,False,4,False,1,False,True,0.93,True,0.728
980,0.001,0.001,400,10,0.1,128,go2vec,2,1,sum,64,False,0.5,mean,False,4,False,2,False,True,0.929,True,0.779
828,0.001,0.01,500,10,0.1,128,go2vec,1,1,cat,128,False,0.3,mean,False,4,False,3,False,False,0.929,True,0.812
979,0.001,0.001,400,10,0.1,128,go2vec,2,1,sum,64,False,0.5,sum,False,4,False,1,False,True,0.928,False,0.804
219,0.001,0.001,300,10,0.1,64,go2vec,1,2,sum,32,False,0.0,mean,False,4,False,3,False,True,0.928,True,0.841
14,0.001,0.01,400,10,0.1,32,go2vec,1,1,sum,16,True,0.3,mean,False,4,False,1,False,True,0.928,True,0.694
317,0.001,0.01,500,10,0.1,32,go2vec,1,1,sum,16,False,0.3,sum,True,2,False,3,False,True,0.927,True,0.543
501,0.001,0.01,300,10,0.1,16,go2vec,0,2,sum,16,True,0.0,sum,True,2,False,1,False,False,0.927,True,0.659
249,0.001,0.001,500,10,0.1,64,go2vec,1,1,False,64,False,0.3,sum,False,2,False,3,False,True,0.927,True,0.755
15,0.001,0.01,400,10,0.1,16,go2vec,1,1,sum,16,True,0.3,mean,False,4,False,1,False,True,0.927,True,0.799
625,0.001,0.001,300,10,0.1,32,go2vec,2,1,sum,32,False,0.3,mean,False,4,False,3,False,True,0.927,True,0.849
505,0.001,0.001,300,10,0.1,16,go2vec,0,2,sum,16,True,0.0,sum,True,3,False,2,False,True,0.926,True,0.754
295,0.001,0.001,300,10,0.1,64,go2vec,1,1,False,64,True,0.3,mean,False,4,False,1,False,True,0.926,True,0.75
829,0.001,0.01,500,10,0.1,128,go2vec,1,1,cat,16,False,0.3,mean,False,4,False,3,False,False,0.926,True,0.5
693,0.001,0.01,400,10,0.1,64,go2vec,2,0,sum,64,False,0.3,mean,False,4,False,1,False,True,0.926,True,0.857
569,0.001,0.01,500,10,0.1,128,go2vec,0,1,sum,128,False,0.5,mean,False,3,False,3,False,False,0.925,True,0.553
502,0.001,0.01,300,10,0.1,16,go2vec,0,2,sum,16,True,0.0,sum,True,3,False,1,False,False,0.925,True,0.779
907,0.001,0.0001,300,10,0.1,128,go2vec,0,2,cat,64,False,0.0,sum,False,4,False,2,False,True,0.924,True,0.814
514,0.001,0.0001,500,10,0.1,128,go2vec,0,2,sum,64,True,0.3,sum,True,3,False,2,False,True,0.924,True,0.765
499,0.001,0.01,300,10,0.1,16,go2vec,0,2,sum,16,True,0.0,mean,True,2,False,1,False,True,0.923,True,0.681
893,0.001,0.001,400,10,0.1,16,go2vec,0,2,cat,16,False,0.0,mean,False,3,False,3,False,True,0.923,True,0.774
3,0.001,0.01,500,10,0.1,32,go2vec,1,1,sum,32,False,0.3,sum,True,3,False,3,False,True,0.923,True,0.761
503,0.001,0.01,300,10,0.1,16,go2vec,0,2,sum,16,True,0.0,sum,True,3,False,2,False,False,0.923,True,0.749
516,0.001,0.0001,500,10,0.1,128,go2vec,0,2,sum,64,True,0.3,sum,True,4,False,2,False,True,0.922,True,0.639
496,0.001,0.001,300,10,0.1,16,go2vec,0,2,sum,16,True,0.0,mean,False,2,False,1,False,True,0.922,True,0.63
504,0.001,0.01,300,10,0.1,16,go2vec,0,2,sum,16,True,0.0,sum,True,3,False,2,False,True,0.922,True,0.738
567,0.001,0.01,500,10,0.1,128,go2vec,0,1,cat,128,False,0.5,mean,False,3,False,3,False,False,0.921,True,0.5
696,0.001,0.001,400,10,0.1,64,go2vec,2,0,cat,64,False,0.5,mean,False,4,False,1,False,True,0.92,True,0.858
918,0.001,0.0001,300,10,0.1,64,go2vec,1,1,cat,64,True,0.3,sum,False,4,False,2,False,True,0.92,True,0.83
694,0.001,0.001,400,10,0.1,64,go2vec,2,0,sum,64,False,0.3,mean,False,4,False,1,False,True,0.919,True,0.837
466,0.001,0.001,300,10,0.1,16,go2vec,1,2,cat,16,True,0.3,sum,False,4,False,3,False,False,0.919,True,0.836
627,0.001,0.01,300,10,0.1,32,go2vec,2,1,sum,32,False,0.3,mean,True,4,False,3,False,True,0.919,True,0.675
464,0.001,0.001,300,10,0.1,16,go2vec,0,2,cat,16,True,0.3,sum,False,4,False,1,False,False,0.918,True,0.659
25,0.001,0.001,400,10,0.1,16,go2vec,1,1,sum,128,False,0.3,mean,True,2,False,2,False,True,0.918,True,0.76
896,0.001,0.001,400,10,0.1,16,go2vec,0,2,cat,16,False,0.0,sum,False,4,False,3,False,False,0.917,True,0.84
930,0.001,0.0001,300,10,0.1,64,go2vec,1,0,cat,64,True,0.3,mean,False,4,False,2,False,False,0.917,True,0.795
166,0.001,0.0001,400,10,0.1,128,go2vec,2,2,cat,128,True,0.3,mean,True,3,False,3,False,False,0.917,True,0.756
218,0.001,0.001,300,10,0.1,64,go2vec,1,2,sum,32,False,0.0,mean,False,3,False,3,False,True,0.917,True,0.827
463,0.001,0.001,300,10,0.1,16,go2vec,0,2,cat,16,True,0.3,sum,False,3,False,1,False,False,0.917,True,0.706
436,0.001,0.01,500,10,0.1,128,go2vec,0,2,sum,16,True,0.0,mean,True,2,False,3,False,False,0.915,True,0.516
698,0.001,0.01,400,10,0.1,64,go2vec,2,0,cat,64,False,0.5,mean,False,4,False,1,False,True,0.913,True,0.838
921,0.001,0.0001,300,10,0.1,64,go2vec,1,1,cat,64,False,0.3,sum,False,4,False,2,False,True,0.913,True,0.829
895,0.001,0.001,400,10,0.1,16,go2vec,0,2,cat,16,False,0.0,sum,False,3,False,3,False,False,0.913,True,0.764
5,0.001,0.0001,500,10,0.1,32,go2vec,1,1,sum,32,False,0.3,sum,False,3,False,3,False,True,0.912,True,0.803
299,0.001,0.001,300,10,0.1,64,go2vec,1,1,sum,64,True,0.3,mean,True,4,False,1,False,True,0.912,True,0.659
825,0.001,0.01,500,10,0.1,128,go2vec,1,1,cat,128,False,0.3,mean,True,4,False,3,False,True,0.911,False,0.628
465,0.001,0.001,300,10,0.1,16,go2vec,1,2,cat,16,True,0.3,sum,False,4,False,1,False,False,0.911,True,0.77
805,0.001,0.0001,300,10,0.1,32,go2vec,0,2,cat,32,True,0.0,mean,False,4,True,2,False,True,0.911,True,0.79
731,0.001,0.001,300,10,0.1,16,go2vec,0,1,cat,32,False,0.0,sum,False,4,True,3,False,False,0.911,True,0.747
13,0.001,0.01,500,10,0.1,32,go2vec,1,1,sum,16,True,0.3,mean,False,4,False,1,False,True,0.91,True,0.781
437,0.001,0.01,500,10,0.1,128,go2vec,0,2,sum,16,True,0.0,sum,True,2,False,3,False,False,0.91,True,0.635
667,0.001,0.001,400,10,0.1,64,go2vec,1,0,False,64,False,0.0,sum,False,2,False,3,False,False,0.91,True,0.771
727,0.001,0.001,500,10,0.1,16,go2vec,0,0,cat,16,False,0.0,sum,False,4,True,3,False,True,0.91,True,0.845
709,0.001,0.001,300,10,0.1,32,go2vec,2,0,cat,32,True,0.5,sum,True,4,False,2,False,True,0.909,True,0.507
711,0.001,0.001,300,10,0.1,32,go2vec,2,0,cat,16,True,0.5,sum,True,4,False,3,False,True,0.909,True,0.576
